연도,학제,학교 세부 유형,고등학교유형,시도,교육지원청,행정구,학교명,본분교,학교상태,설립,남여공학,우편번호,도로명주소,연락처,팩스번호,홈페이지
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,제주대학교사범대학부설고등학교,본교,기존(원)교,국립,남여공학,63151 ,제주특별자치도 제주시 용담로 65 (용담삼동),064-754-6500,064-754-6400,http://jnuh.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,대정고등학교,본교,기존(원)교,공립,남자,63509 ,제주특별자치도 서귀포시 대정읍 일주서로2498번길 21 . 대정고등학교 (대정읍),064-730-0100,064-794-2070,http://daejeong.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,대정여자고등학교,본교,기존(원)교,공립,여자,63509 ,제주특별자치도 서귀포시 대정읍 대한로88번길 82-22 . 대정여자고등학교 (대정읍),064-730-5300,064-730-5399,http://djgirls.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,서귀포고등학교,본교,기존(원)교,공립,남자,63585 ,제주특별자치도 서귀포시 중앙로 140 (동홍동),064-730-6300,064-730-6377,http://seogwipo.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,서귀포여자고등학교,본교,기존(원)교,공립,여자,63571 ,제주특별자치도 서귀포시 태평로 80 (호근동.서귀포여자고등학교),064-766-1100,064-739-0539,http://sgpo.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,세화고등학교,본교,기존(원)교,공립,남여공학,63361 ,제주특별자치도 제주시 구좌읍 세종로 26 (구좌읍),064-780-1603,064-783-2480,http://sehwa.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,제주제일고등학교,본교,기존(원)교,공립,남자,63087 ,제주특별자치도 제주시 진군길 22 (노형동.제주제일고등학교),064-740-8200,064-740-8290,http://jeil.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,제주중앙여자고등학교,본교,기존(원)교,공립,여자,63231 ,제주특별자치도 제주시 구남동5길 11 (이도이동),064-717-3100,064-717-3110,http://jungang.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,한림고등학교,본교,기존(원)교,공립,남여공학,63012 ,제주특별자치도 제주시 한림읍 월계로 74 . 한림고등학교 (한림읍),064-795-5500,064-796-9819,http://hallim.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,남녕고등학교,본교,기존(원)교,사립,남여공학,63128 ,제주특별자치도 제주시 도령로 55 . 남녕고등학교 (연동),064-717-6357,064-717-6388,http://namnyeong.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,남주고등학교,본교,기존(원)교,사립,남자,63579 ,제주특별자치도 서귀포시 동홍로303번길 14 (동홍동.남주고등학교),064-730-6000,064-733-6100,http://namju.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,대기고등학교,본교,기존(원)교,사립,남자,63328 ,제주특별자치도 제주시 번영로 453-6 . 대기고등학교 (봉개동),064-721-5142,064-721-5146,http://www.daykey.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,삼성여자고등학교,본교,기존(원)교,사립,여자,63598 ,제주특별자치도 서귀포시 검은여로 151 삼성여자고등학교 (토평동),064-760-5400,064-762-2670,http://samsung.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,신성여자고등학교,본교,기존(원)교,사립,여자,63308 ,제주특별자치도 제주시 아봉로 174-1 (영평동. 신성여자고등학교),064-729-7301,064-724-7060,http://shinseong.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,오현고등학교,본교,기존(원)교,사립,남자,63293 ,제주특별자치도 제주시 일주동로 101 . 오현고등학교 (화북일동),064-754-0800,064-755-4216,http://ohyun.jje.hs.kr/
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,제주여자고등학교,본교,기존(원)교,사립,여자,63236 ,제주특별자치도 제주시 구산로 50 . 제주여자고등학교 (아라일동),064-702-3762,064-702-7906,http://jeju-g.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,제주시,애월고등학교,본교,기존(원)교,공립,남여공학,63044 ,제주특별자치도 제주시 애월읍 일주서로 6372-20 (애월읍.애월고등학교),064-797-5100,064-799-6974,http://aewol.jje.hs.kr
2019,고등학교,일반고,일반고등학교,제주,제주,서귀포시,표선고등학교,본교,기존(원)교,공립,남여공학,63629 ,제주특별자치도 서귀포시 표선면 표선중앙로 22-15 (표선면.표선고등학교),064-786-5500,064-786-5599,http://jjps.jje.hs.kr
2019,고등학교,특목고,과학고등학교,제주,제주,제주시,제주과학고등학교,본교,기존(원)교,공립,남여공학,63144 ,제주특별자치도 제주시 산록북로 421-1 (오라이동),064-754-0700,064-754-0777,http://jeju-s.jje.hs.kr
2019,고등학교,특목고,외국어고등학교,제주,제주,제주시,제주외국어고등학교,본교,기존(원)교,공립,남여공학,63065 ,제주특별자치도 제주시 애월읍 고성남길 34 (애월읍),064-717-7700,064-717-7703,http://jejufl.jje.hs.kr
2019,고등학교,특성화고(직업),농림업고등학교,제주,제주,서귀포시,서귀포산업과학고등학교,본교,기존(원)교,공립,남여공학,63582 ,제주특별자치도 서귀포시 516로 501 서귀포산업과학고등학교 (상효동),064-730-5500,064-733-8764,http://sis.jje.hs.kr
2019,고등학교,특성화고(직업),공업고등학교,제주,제주,제주시,한림공업고등학교,본교,기존(원)교,공립,남여공학,63028 ,제주특별자치도 제주시 한림읍 한림중앙로 87 (한림읍),064-797-3299,064-796-3277,http://hallim-th.jje.hs.kr
2019,고등학교,일반고,공업고등학교,제주,제주,제주시,영주고등학교,본교,기존(원)교,사립,남여공학,63311 ,제주특별자치도 제주시 첨단동길 92 (월평동.영주고등학교),064-729-6200,064-702-6255,http://jyj.jje.hs.kr
2019,고등학교,특성화고(직업),상업고등학교,제주,제주,제주시,제주여자상업고등학교,본교,기존(원)교,공립,여자,63282 ,제주특별자치도 제주시 동문로 89-1 (건입동),064-754-0100,064-754-0199,http://jejugc.jje.hs.kr
2019,고등학교,일반고,상업고등학교,제주,제주,제주시,함덕고등학교,본교,기존(원)교,공립,남여공학,63332 ,제주특별자치도 제주시 조천읍 신흥로 9 . (신흥리 215번지) 함덕고등학교 (조천읍),064-780-7873,064-783-1247,http://hamdeok.jje.hs.kr
2019,고등학교,일반고,상업고등학교,제주,제주,제주시,제주중앙고등학교,본교,기존(원)교,사립,남여공학,63311 ,제주특별자치도 제주시 아봉로 323 (월평동),064-721-1152,064-750-3888,http://jja.jje.hs.kr
2019,고등학교,일반고,수산고등학교,제주,제주,서귀포시,성산고등학교,본교,기존(원)교,공립,남여공학,63639 ,제주특별자치도 서귀포시 성산읍 한도로 79-17 . 성산고등학교 (성산읍),064-786-5000,064-786-5115,http://jejuss.jje.hs.kr
2019,고등학교,특성화고(직업),가사고등학교,제주,제주,제주시,제주고등학교,본교,기존(원)교,공립,남여공학,63092 ,제주특별자치도 제주시 1100로 3213 (노형동),064-750-4146,064-747-4377,http://jeju.jje.hs.kr
2019,고등학교,특성화고(직업),가사고등학교,제주,제주,서귀포시,중문고등학교,본교,기존(원)교,공립,남여공학,63540 ,제주특별자치도 서귀포시 일주서로570번길 19 (대포동),064-735-7400,064-738-4503,http://jungmun.jje.hs.kr
2019,고등학교,특성화고(직업),가사고등학교,제주,제주,제주시,한국뷰티고등학교,본교,기존(원)교,공립,남여공학,63008 ,제주특별자치도 제주시 한경면 용고로 70 (한경면),064-795-8200,064-772-5977,http://kbeauty.jje.hs.kr
2019,특수학교,,기타학교(특수),제주,제주,제주시,제주영지학교,본교,기존(원)교,공립,남여공학,63245 ,제주특별자치도 제주시 간월동로3길 15 (이도이동),064-728-1100,064-757-0840,http://youngji.jje.sc.kr
2019,특수학교,,기타학교(특수),제주,제주,제주시,제주영송학교,본교,기존(원)교,사립,남여공학,63062 ,제주특별자치도 제주시 애월읍 광령중길 126-3 (애월읍),064-748-2064,064-747-5758,http://www.youngsong.sc.kr
2019,특수학교,,기타학교(특수),제주,제주,서귀포시,서귀포온성학교,본교,기존(원)교,공립,남여공학,63582 ,제주특별자치도 서귀포시 516로 447-10 . 서귀포온성학교 (상효동),064-760-8000,064-767-8014,http://onseong.jje.sc.kr
2019,유치원,,유치원,제주,제주시,제주시,광양초등학교병설유치원,본교,기존(원)교,공립,,63197 ,제주특별자치도 제주시 돈내길 5 (이도일동),064-754-6937,064-756-0014,http://jeju-gwyang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,노형초등학교병설유치원,본교,기존(원)교,공립,,63102 ,제주특별자치도 제주시 노형로 383 (노형동),064-740-8175,064-740-8470,http://nohyung.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,도리초등학교병설유치원,본교,기존(원)교,공립,,63112 ,제주특별자치도 제주시 도리로 129 (도두일동),064-717-4670,064-717-4699,http://dori.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,동화초등학교병설유치원,본교,기존(원)교,공립,,63301 ,제주특별자치도 제주시 동화로1길 44 (화북일동),064-729-5770,064-729-5779,http://donghwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,봉개초등학교병설유치원,본교,기존(원)교,공립,,63313 ,제주특별자치도 제주시 번영로 484 (봉개동),064-721-0464,064-721-3384,http://bonggae.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,삼성초등학교병설유치원,본교,기존(원)교,공립,,63199 ,제주특별자치도 제주시 서광로29길 35 (이도일동),064-720-0770,064-751-2683,http://samsung.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,삼양초등학교병설유치원,본교,기존(원)교,공립,,63321 ,제주특별자치도 제주시 지석14길 7 (삼양이동),064-729-6870,064-729-6888,http://www.j-samyang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,아라초등학교병설유치원,본교,기존(원)교,공립,,63237 ,제주특별자치도 제주시 중앙로 518 (아라일동),064-702-2861,064-702-2864,http://jejuara.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,영평초등학교병설유치원,본교,기존(원)교,공립,,63308 ,제주특별자치도 제주시 아봉로 225 . 영평초등학교(영평동),064-702-1307,064-702-1310,http://yeongpyeonp.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,오라초등학교병설유치원,본교,기존(원)교,공립,,63145 ,제주특별자치도 제주시 연사길 48 (오라이동),064-720-4400,064-720-4499,http://ora.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,외도초등학교병설유치원,본교,기존(원)교,공립,,63071 ,제주특별자치도 제주시 일주서로 7368 (외도이동),064-717-5571,064-717-5573,http://oedo.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,인화초등학교병설유치원,본교,기존(원)교,공립,,63273 ,제주특별자치도 제주시 신산로15길 35 (일도이동),064-730-0975,064-724-3865,http://inhwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,일도초등학교병설유치원,본교,기존(원)교,공립,,63269 ,제주특별자치도 제주시 삼성로9길 27 (일도이동),064-757-2870,064-756-2934,http://ildo.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주남초등학교병설유치원,본교,기존(원)교,공립,,63169 ,제주특별자치도 제주시 남성로 149 (삼도이동),064-729-3704,064-729-3709,http://jejunam.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주동초등학교병설유치원,본교,기존(원)교,공립,,63279 ,제주특별자치도 제주시 동문로 65 (건입동),064-754-0505,064-757-3115,http://jejudong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주북초등학교병설유치원,본교,기존(원)교,공립,,63166 ,제주특별자치도 제주시 중앙로8길 18 (삼도이동),064-723-1483,064-721-3496,http://jejubuk.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주서초등학교병설유치원,본교,기존(원)교,공립,,63156 ,제주특별자치도 제주시 성화로6길 51 (용담이동),064-711-5944,064-711-5945,http://jeju-seo.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한천초등학교병설유치원,본교,기존(원)교,공립,,63174 ,제주특별자치도 제주시 남성로11길 22 (용담일동),064-755-4708,064-755-4167,http://hancheon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,월랑초등학교병설유치원,본교,기존(원)교,공립,,63096 ,제주특별자치도 제주시 남녕로 63 (노형동),064-717-3500,064-717-3505,http://wollang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주YMCA유치원,본교,기존(원)교,사립,,63168 ,제주특별자치도 제주시 관덕로2길 1 (삼도이동),064-758-6844,064-755-4405,http://kindergarten.jejuyca.kr
2019,유치원,,유치원,제주,제주시,제주시,제주까리따스유치원,본교,기존(원)교,사립,,63247 ,제주특별자치도 제주시 인다10길 19 (아라일동),064-702-5425,064-702-5424,http://jejucaritas.com
2019,유치원,,유치원,제주,제주시,제주시,마야유치원,본교,기존(원)교,사립,,63304 ,제주특별자치도 제주시 거로남6길 48 . 마야유치원 (화북이동),064-755-3131,064-755-3155,http://mayakindergarten.kidis.co.kr/
2019,유치원,,유치원,제주,제주시,제주시,연동유치원,본교,기존(원)교,사립,,63131 ,제주특별자치도 제주시 제원3길 3 (연동),064-746-1681,064-746-1671,http://www.e-ini.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주영락유치원,본교,기존(원)교,사립,,63251 ,제주특별자치도 제주시 동광로23길 15 (일도이동),064-753-1230,064-753-1257,http://www.jejuyn.com
2019,유치원,,유치원,제주,제주시,제주시,원명유치원,본교,휴(원)교,사립,,63293 ,제주특별자치도 제주시 원두길 34 (화북일동),064-755-3323,064-755-0880,http://www.wonkid.kr
2019,유치원,,유치원,제주,제주시,제주시,전원유치원,본교,기존(원)교,사립,,63232 ,제주특별자치도 제주시 구남동8길 1-6 (이도이동),064-722-5755,064-751-5755,http://www.jejujeonwon.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주중앙유치원,본교,기존(원)교,사립,,63252 ,제주특별자치도 제주시 고마로7길 11 (일도이동),064-758-7876,064-758-7875,http://www.jakid.kidswon.com
2019,유치원,,유치원,제주,제주시,제주시,해봉유치원,본교,기존(원)교,사립,,63142 ,제주특별자치도 제주시 삼동2길 21-7 (연동),064-747-9108,064-743-9108,http://www.haebong.co.kr
2019,유치원,,유치원,제주,제주시,제주시,동원유치원,본교,기존(원)교,사립,,63228 ,제주특별자치도 제주시 황새왓길 20 (이도이동),064-702-0012,064-702-0093,http://kid.jeju.ac.kr/
2019,유치원,,유치원,제주,제주시,제주시,제주엔젤유치원,본교,기존(원)교,사립,,63311 ,제주특별자치도 제주시 월평9길 2-8 (월평동),064-723-8004,064-723-8005,http://www.jejuangel.net
2019,유치원,,유치원,제주,제주시,제주시,한라유치원,본교,기존(원)교,사립,,63139 ,제주특별자치도 제주시 국기로2길 18 (연동),064-743-0675,064-743-0679,http://hallakid.co.kr
2019,유치원,,유치원,제주,제주시,제주시,제주충신유치원,본교,기존(원)교,사립,,63140 ,제주특별자치도 제주시 연화로2길 17-6 (연동),064-747-2033,064-747-2034,http://www.jchild.com
2019,유치원,,유치원,제주,제주시,제주시,금호유치원,본교,기존(원)교,사립,,63092 ,제주특별자치도 제주시 진군남2길 18 (노형동),064-741-2719,064-741-2716,http://www.geumho.org
2019,유치원,,유치원,제주,제주시,제주시,새순유치원,본교,기존(원)교,사립,,63104 ,제주특별자치도 제주시 수덕로 66 (노형동),064-744-0005,064-744-0125,http://www.saesoon.kidswon.com
2019,유치원,,유치원,제주,제주시,제주시,고산초등학교병설유치원,본교,기존(원)교,공립,,63008 ,제주특별자치도 제주시 한경면 고산로1길 16 (한경면),064-773-0829,064-772-5478,http://gosan.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,구좌중앙초등학교병설유치원,본교,기존(원)교,공립,,63358 ,제주특별자치도 제주시 구좌읍 월정7길 1 (구좌읍),064-783-5308,064-783-9380,http://kujwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,납읍초등학교병설유치원,본교,기존(원)교,공립,,63035 ,제주특별자치도 제주시 애월읍 납읍로2길 47 (애월읍),064-797-3408,064-797-3499,http://nabeup.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,대흘초등학교병설유치원,본교,기존(원)교,공립,,63343 ,제주특별자치도 제주시 조천읍 중산간동로 677 (조천읍),064-780-3620,064-783-6625,http://daehul.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,도남초등학교병설유치원,본교,기존(원)교,공립,,63204 ,제주특별자치도 제주시 도남로8길 22 (도남동),064-752-2702,064-752-2705,http://jejudonam.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,물메초등학교병설유치원,본교,기존(원)교,공립,,63056 ,제주특별자치도 제주시 애월읍 엄수로 202-4 물메초등학교 병설유치원,064-717-8004,064-717-8099,http://mulme.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,북촌초등학교병설유치원,본교,기존(원)교,공립,,63339 ,제주특별자치도 제주시 조천읍 일주동로 1481 (조천읍),064-717-3804,064-717-3881,http://bukchon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,세화초등학교병설유치원,본교,기존(원)교,공립,,63361 ,제주특별자치도 제주시 구좌읍 구좌로 65 (구좌읍),064-782-1116,064-782-7604,http://sehwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,송당초등학교병설유치원,본교,기존(원)교,공립,,63355 ,제주특별자치도 제주시 구좌읍 중산간동로 2218-3 (구좌읍),064-780-6800,064-780-6899,http://songdang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,수원초등학교병설유치원,본교,기존(원)교,공립,,63026 ,제주특별자치도 제주시 한림읍 한림로 822 (한림읍),064-797-3140,064-796-0243,http://suwon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,신촌초등학교병설유치원,본교,기존(원)교,공립,,63337 ,제주특별자치도 제주시 조천읍 신북로 51 (조천읍),064-780-5767,064-780-5789,http://sinchon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,애월초등학교병설유치원,본교,기존(원)교,공립,,63043 ,제주특별자치도 제주시 애월읍 애월로 139-10 (애월읍),064-795-8900,064-795-8999,http://aewol.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,어도초등학교병설유치원,본교,기존(원)교,공립,,63039 ,제주특별자치도 제주시 애월읍 봉성로 76 (애월읍),064-799-0519,064-799-0516,http://www.uhdo.es.kr
2019,유치원,,유치원,제주,제주시,제주시,우도초등학교병설유치원,본교,기존(원)교,공립,,63365 ,제주특별자치도 제주시 우도면 우도로 156-11 (우도면),064-786-4500,064-786-4599,http://udo.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,장전초등학교병설유치원,본교,기존(원)교,공립,,63055 ,제주특별자치도 제주시 애월읍 장전로 122 (애월읍),064-798-2210,064-798-2250,http://jangjeon.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,재릉초등학교병설유치원,본교,기존(원)교,공립,,63011 ,제주특별자치도 제주시 한림읍 한림로 288-18 (한림읍),064-795-5780,064-795-5799,http://jaereung.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,저청초등학교병설유치원,본교,기존(원)교,공립,,63006 ,제주특별자치도 제주시 한경면 중산간서로 3591 (한경면),064-798-1640,064-798-1649,http://jeocheong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,조천초등학교병설유치원,본교,기존(원)교,공립,,63331 ,제주특별자치도 제주시 조천읍 신북로 195 (조천읍. 조천초등학교),064-784-4601,064-782-4702,http://jocheon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,종달초등학교병설유치원,본교,기존(원)교,공립,,63364 ,제주특별자치도 제주시 구좌읍 종달로7길 5 (구좌읍),064-783-3189,064-784-2441,http://jongdal.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,추자초등학교병설유치원,본교,기존(원)교,공립,,63000 ,제주특별자치도 제주시 추자면 대서3길 10 (추자면.추자초등학교병설유치원),064-742-8531,064-742-3648,http://chuja.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,추자초등학교병설신양분교장유치원,본교,휴(원)교,공립,,63001 ,제주특별자치도 제주시 추자면 추자로 553-10 (추자면),064-742-8532,064-742-8422,http://chuja.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,평대초등학교병설유치원,본교,기존(원)교,공립,,63360 ,제주특별자치도 제주시 구좌읍 일주동로 2979 (구좌읍),064-750-6830,064-750-6805,http://pyungdae.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하귀초등학교병설유치원,본교,기존(원)교,공립,,63051 ,제주특별자치도 제주시 애월읍 하귀로 44 (애월읍),064-713-9006,064-713-7655,http://hagwi.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하도초등학교병설유치원,본교,기존(원)교,공립,,63363 ,제주특별자치도 제주시 구좌읍 일주동로 3378 (구좌읍),064-782-6898,064-784-4004,http://www.hado.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한동초등학교병설유치원,본교,기존(원)교,공립,,63359 ,제주특별자치도 제주시 구좌읍 일주동로 2831 (구좌읍),064-783-2354,064-783-3467,http://handong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한림초등학교병설유치원,본교,기존(원)교,공립,,63032 ,제주특별자치도 제주시 한림읍 한림로4길 16 (한림읍),064-797-3070,064-797-3075,http://hallim.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,함덕초등학교병설유치원,본교,기존(원)교,공립,,63333 ,제주특별자치도 제주시 조천읍 일주동로 1231 (조천읍),064-780-4507,064-780-4566,http://hamdeok.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,한림성모유치원,본교,기존(원)교,사립,,63030 ,제주특별자치도 제주시 한림읍 한수풀로 28-4 (한림읍),064-796-3588,064-796-9588,http://hallimsungmo.kidswon.com/
2019,유치원,,유치원,제주,제주시,제주시,제주관광대학교부속유치원,본교,기존(원)교,사립,,63062 ,제주특별자치도 제주시 애월읍 평화로 2755-1 . 제주관광대학교부속유치원 (애월읍),064-746-9220,064-746-9223,http://www.jtukid.co.kr/
2019,유치원,,유치원,제주,제주시,제주시,광령초등학교병설유치원,본교,기존(원)교,공립,,63062 ,제주특별자치도 제주시 애월읍 광성로 276 (애월읍),064-748-4089,064-748-4093,http://gwang-r.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,구엄초등학교병설유치원,본교,기존(원)교,공립,,63049 ,제주특별자치도 제주시 애월읍 일주서로 6768 (애월읍),064-713-5191,064-713-6567,http://gueom.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,귀덕초등학교병설유치원,본교,기존(원)교,공립,,63024 ,제주특별자치도 제주시 한림읍 귀덕14길 14-5 (한림읍),064-795-7788,064-795-7799,http://gwideok.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,김녕초등학교병설유치원,본교,기존(원)교,공립,,63357 ,제주특별자치도 제주시 구좌읍 김녕로 117 (구좌읍),064-783-2113,064-784-4077,http://kimnyeong.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,이도초등학교병설유치원,본교,기존(원)교,공립,,63233 ,제주특별자치도 제주시 구남동2길 58 (이도이동),064-754-5200,064-754-5209,http://ido.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,제주중앙초등학교병설유치원,본교,기존(원)교,공립,,63175 ,제주특별자치도 제주시 서사로18길 40 (삼도일동),064-729-3800,064-729-3838,http://jejujungang.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,하귀일초등학교병설유치원,본교,기존(원)교,공립,,63054 ,제주특별자치도 제주시 애월읍 하귀9길 42 (애월읍. 하귀일초등학교),064-795-0800,064-795-0899,http://hagwiil.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,삼화초등학교병설유치원,본교,기존(원)교,공립,,63303 ,제주특별자치도 제주시 화삼북로 2길 27 (화북일동),064-750-3405,064-750-3497,http://jj-samhwa.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,신광초등학교병설유치원,본교,기존(원)교,공립,,63127 ,제주특별자치도 제주시 성신로 25 (연동),064-741-0870,064-741-0876,http://jeju-sk.jje.es.kr/
2019,유치원,,유치원,제주,제주시,제주시,도련초등학교병설유치원,본교,기존(원)교,공립,,63324 ,제주특별자치도 제주시 화삼로 104 (도련일동),064-754-1397,064-754-1227,http://doryeon.jje.es.kr
2019,유치원,,유치원,제주,제주시,제주시,도평초등학교병설유치원,본교,기존(원)교,공립,,63076 ,제주특별자치도 제주시 도평길 17 (도평동),064-740-0170,064-740-0199,http://jejudopyeong.jje.es.kr
